"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"'Garri Potter' v t︠s︡erkvi : mezhdu anafemoĭ i ulybkoĭ","","012985093","Monograph","Language material ; Text","Volume","","9785765429013","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person]","","","Russia","Saint Petersburg","NEVA","2003","","123 pages, 20 cm","","YF.2004.a.17009","Potter, Harry, (Fictitious character)--Religious aspects ; Christianity and literature--Russkai︠a︡ pravoslavnai︠a︡ t︠s︡erkovʹ ; Rowling, J. K.--Criticism and interpretation ; Rowling, J. K.--Characters--Harry Potter ; Rowling, J. K.--Appreciation--Russia (Federation)","","Russian","'Datʹ li skazam indulʹgent︠s︡ii︠u︡? Demonichna li neli︠u︡dʹ? Na chto namekaet 'Garri Potter'? Satanistka Rouling? Pravda 'Garri Pottera'--P [1] of cover"
"'Harry Potter and the Transmedia Wizarding World' : paratexts of the Harry Potter franchise, 2011-17","","019560516","Monograph","Language material ; Text","Online resource","","","","Brummitt, Cassie","","person","author","De Montfort University [organisation] ; Brummitt, Cassie, author [person]","","","United Kingdom","","Montfort University","2018","","1 online resource","791.43","783315","","","English",""
"'Harry Potter and the order of the phoenix' ... or, did J.K. Rowling ever read Ayn Rand?","","014558822","Monograph","Language material ; Text","Volume","","9781856377553","","Lalor, John","","person","","Lalor, John [person]","Cultural notes","number 54 [Cultural notes]","England ; United Kingdom","London","Libertarian Alliance","2007","","4 pages","","","","","English","Pamphlet"
"'Harry Potter' in der Schule : didaktische Annäherungen an ein Phänomen","","012459662","Monograph","Language material ; Text","Volume","","9783860726570","","","","","","Knobloch, Jörg [person]","","","Germany","Mühlheim an der Ruhr","Ruhr","2001","","229 pages, illustrations, 23 cm","","YA.2003.a.27508","Magic in literature ; Potter, Harry, (Fictitious character) ; Wizards in literature ; Children's stories, English--Study and teaching ; Rowling, J. K.--Characters--Harry Potter ; Fantasy fiction, English--Study and teaching","","German",""
"'Magiczna' wyobraźnia czy realistyczna magia?","Harry Potter i okultyzm : 'magiczna' wyobraźnia czy realistyczna magia?","013523758","Monograph","Language material ; Text","Volume","","9788389862525 ; 9788390927619","","Posacki, Aleksander","","person","","Posacki, Aleksander [person]","","","Poland","Gdańsk","Arka Noego ; Fenomen","2006","","219 pages, 20 cm","","YF.2006.a.30535","Rowling, J. K.--Criticism and interpretation ; Potter, Harry, (Fictitious character)--Religious aspects ; Rowling, J. K.--Characters--Harry Potter ; Magic in literature","","Polish",""
"'Mudbloods' und 'Half-Breeds' : Rassismus und Identitätszuschreibung in den Harry-Potter-Romanen","","015398690","Monograph","Language material ; Text","Volume","","9783828898707","","Linzer, Claudia","","person","","Linzer, Claudia [person]","","","Germany","Marburg","Tectum","2009","","318 pages, illustrations, 21 cm","823.914","YF.2010.a.912","Racism in literature ; Potter, Harry, (Fictitious character) ; Identity (Philosophical concept) in literature ; Rowling, J. K.--Characters--Harry Potter ; Children's stories, English--History and criticism ; Fantasy fiction, English--History and criticism","","English ; German",""
"101 amazing Harry Potter facts","One hundred one amazing Harry Potter facts","018620828","Monograph","Language material ; Text","Online resource","GBB7N9241","9781782343547 ; 9781782343554","","Goldstein, Jack","","person","writer","Goldstein, Jack, writer [person] ; Taylor, Frankie [person]","","","England","Luton","Andrews","2012","","1 online resource (25 pages)","823.9102","ELD.DS.228327","LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Harry Potter films--Miscellanea ; Fiction--Media Tie-In ; Rowling, J. K.--Miscellanea ; Reference--Trivia","","English",""
"101 amazing facts about J.K. Rowling and Harry Potter","One hundred and one amazing facts about J.K. Rowling and Harry Potter","019854138","Monograph","Language material ; Text","Online resource","GBC0E1037","9781789821826 ; 9781789821833","","Wessling, Holger","","person","author","Wessling, Holger, author [person] ; Thomas, Archie, author [person]","","","England","Luton","Jack Goldstein","2019","Unofficial and unauthorised","1 online resource","823.914","ELD.DS.521794","Novelists, English ; Potter, Harry, (Fictitious character) ; Novelists, English--Biography ; Women novelists, English--20th century--Biography ; Rowling, J. K","Biography","English",""
"101 more amazing Harry Potter facts","One hundred one more amazing Harry Potter facts","018620862","Monograph","Language material ; Text","Online resource","GBB7N9260","9781782348320 ; 9781782348337","","Goldstein, Jack","","person","","Goldstein, Jack [person] ; Taylor, Frankie [person]","","","England","Luton","Andrews","2013","","1 online resource (30 pages)","823.9102","ELD.DS.228361","LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Harry Potter films--Miscellanea ; Fiction--Media Tie-In ; Rowling, J. K.--Miscellanea ; Reference--Trivia","","English",""
"25 Years of Harry Potter Magic","","020685544","Monograph","Language material","","","9781526649256","","","","","","","","","England","","Bloomsbury","2022","","1 volume","","","","","English","Pack of 25"
"25 Years of Harry Potter Magic","","020685545","Monograph","Language material","","","9781526649249","","","","","","","","","England","","Bloomsbury","2022","","1 volume","","","","","English","Mobile"
"5-minute Harry Potter Builds","","020769513","Monograph","Language material","","","9781780558868","","Lego (R)","","organisation","author","Lego (R), author [organisation] ; Buster Books, author [organisation]","","","England","London","Buster","2022","","96 pages, 27 x 21 x 3 cm","","","","","English",""
"50 Amazing Cocktails Inspired by Harry Potter","","018621159","Monograph","Language material ; Text","Online resource","GBB888427","9781785386091 ; 9781785386107","","Thomas, Archie","","person","","Thomas, Archie [person]","","","","","Andrews","2016","","1 online resource","641.2","ELD.DS.228658","Reference--Handbooks & Manuals ; Cooking--Beverages--Bartending ; Electronic books","","English",""
"50 chart & film hits piano gefällt mir! 4","Piano gefällt mir!. 4 : von Coldplay bis Harry Potter : 50 chart & film hits : das ultimative Spielbuch für Klavier","016999301","Monograph","Notated music","Volume","","9783865438584","","","","","","Heumann, Hans-Günter [person]","","","Germany","Berlin","Bosworth","2014","","1 score (249 pages), 31 cm","783.242166","G.944.jj","Motion picture music--Excerpts, Arranged ; Popular instrumental music ; Piano music, Arranged","Excerpt","English","50 songs/instrumental pieces arranged for piano with chord symbols ; Includes interlinear text where appropriate"
"50 chart & film hits piano gefällt mir! 4","Piano gefällt mir!. 4 : von Coldplay bis Harry Potter : 50 chart & film hits : das ultimative Spielbuch für Klavier","017171423","Monograph","Notated music ; Performed music","Audio disc ; Volume","","9783865438652","","","","","","Heumann, Hans-Günter [person]","","","Germany","Berlin","Bosworth","2014","","1 score (249 pages), 31 cm + 1 audio disc","783.242164","G.1567.ff. (2.)","Motion picture music--Excerpts, Arranged ; Recorded accompaniments ; Popular instrumental music ; Piano music, Arranged","Excerpt","English","50 songs/instrumental pieces arranged for piano with chord symbols ; CD contains demonstration and backing tracks ; Includes interlinear text where appropriate"
