"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"18.05 English literature","general term","019681015","Monograph","Language material ; Text","Volume","GBC007865","9781108469883","","Martens, Marianne","","person","author","Martens, Marianne, author [person]","The forever fandom of Harry Potter : balancing fan agency and corporate control","","Cambridge elements. Elements in publishing and book culture","","England ; United States of America","Cambridge ; New York","Cambridge University Press","2019","","111 pages, illustrations, 19 cm","823.914","","","English","ISSN 2514-8516 from title page verso. ISSN 2514-3794 on back cover is that of a different series"
"1997-2011","chronological term","017374702","Monograph","Language material ; Text","Volume","","9783826056444","","Woiwod, Uta","","person","author","Woiwod, Uta, author [person]","Die literarische Kommunikationsspirale : strukturelle Wechselwirkungen zwischen literarischem Text und Rezeption in der angelsächsischen Kinder- und Jugendliteratur des späten 20./frühen 21. Jahrhunderts","","Epistemata. Reihe Literaturwissenschaft","Band 829, 2015 [Epistemata. Reihe Literaturwissenschaft]","Germany","Würzburg","Königshausen & Neumann","2015","","556 pages, 15 black and white illustrations, 24 cm","","X.0950/333 (829)","","English ; German","Originally presented as the author's thesis (doctoral) --Universität Köln"
"Adaption","general term","020560826","Monograph","Language material ; Text","Online resource","GBC275732","9781789380712 ; 9781789380729","","","","","","Frankel, Valerie Estelle, 1980-, editor [person]","Fan phenomena. Harry Potter","Harry Potter","Fan phenomena","","United States of America","Chicago, Illinois","University of Chicago Press","2019","","1 online resource","791.4372","ELD.DS.685988","","English",""
"Adolescence in literature","general term","015995580","Monograph","Language material ; Text","Volume","GBB1E4431","9780786466740","","Saxena, Vandana","1977-","person","","Saxena, Vandana, 1977- [person]","The subversive Harry Potter : adolescent rebellion and containment in the J.K. Rowling novels","","","","United States of America","Jefferson, North Carolina","McFarland","2012","","vii, 210 pages, 23 cm","823.914","YC.2012.a.12301","","English",""
"Advent calendars--Specimens","general term","020487261","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Card ; Volume","GBC2G9984","9781178098686","","","","","","","Holiday magic : official Advent calendar : 25 days of surprises, with mini books, mementos, and more!","Harry Potter holiday magic","","","England","London","Titan","2021","","1 volume (unpaged), colour illustrations, 37 cm","791.4375","LC.31.b.23644","Pictorial work ; Specimen","English","'More than 40 surprises ... From fun mini booklets to Hogwarts house-inspired coasters, a keychain, stationery, and much more ... to delight fans of all ages!' -- Back cover ; 'Wizarding world' ; At head of title: 'From the films of Harry Potter'"
"Adventure stories--History and criticism","general term","018099664","Monograph","Language material ; Text","Volume","","9789170612251","","Alkestrand, Malin","1986-","person","","Strandberg, Mats, 1976- [person] ; Colfer, Eoin [person] ; Rowling, J. K. [person] ; Alkestrand, Malin, 1986- [person]","Magiska möjligheter : Harry Potter, Artemis Fowl och Cirkeln i skolans värdegrundsarbete","Artemis Fowl ; Cirkeln ; Harry Potter","Svenska barnboksinstitutets skriftserie","137 [Svenska barnboksinstitutets skriftserie]","Sweden","Göteborg","Makadam","2016","","349 pages, illustrations, 21 cm","","X.0900/633 (137)","","English",""
"Advertising--Brand name products","general term","013180862","Monograph","Language material ; Text","Volume","GBA534250","9781904879305","","Brown, Stephen","1955 March 23-","person","","Brown, Stephen, 1955 March 23- [person]","Wizard! : Harry Potter's brand magic","","Great brand stories","","England","London","Cyan","2005","","191 pages, illustrations, 18 cm","658.827","YK.2008.a.5468 ; m06/.35049","","English",""
"African Americans--Intellectual life","general term","019440672","Monograph","Language material ; Text","Volume","","9781479800650","","Thomas, Ebony Elizabeth","1977-","person","author","Thomas, Ebony Elizabeth, 1977-, author [person]","The dark fantastic : race and the imagination from Harry Potter to The hunger games","A queen out of place : dark fantastic dreaming and the spacetime politics of Gwen in BBC's Merlin -- ; Hermione is black : a postscript on Harry Potter and the crisis of infinite dark fantastic worlds -- ; Lamentations of a Mockingjay : The hunger games' Rue and racial innocence in the dark fantastic -- ; The curious case of Bonnie Bennett : The vampire diaries and the monstrous contradiction of the dark fantastic -- ; Toward a theory of the dark fantastic --","Postmillennial pop","","United States of America","New York","New York University Press","2019","","vii, 225 pages, illustrations, 24 cm","813.08766093552 ; 813.8766093552","m19/.11079","Criticsm and interpretation","English",""
"Alchemy in literature","general term","020304996","Monograph","Language material ; Text","Volume","GBC263041","9781476681344","","","","","","Mamary, Anne J. M., 1964-, editor [person]","The alchemical Harry Potter : essays on transfiguration in J.K. Rowling's novels","","","","United States of America","Jefferson, North Carolina","McFarland","2021","","xi, 311 pages, black and white illustrations, 23 cm","823.914","YKL.2022.a.10080","","English",""
"Alchemy--Juvenile fiction","general term","007716549","Monograph","Language material ; Text","Volume","GB99X1777","9780747545729","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","1999","Special edition","224 pages, 24 cm","823.914","","","English","Originally published: 1997"
"Allusions in literature","general term","018375958","Monograph","Language material ; Text","Volume","GBB796499","9781138284661 ; 9781138284678","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 volume, 24 cm","823.92","","","English","Additional physical form: ebook version. 9781351978729"
"Allusions in literature","general term","018377560","Monograph","Language material ; Text","Online resource (ebook ; Mobipocket ebook ; PDF ebook ; ePub ebook)","GBB798100","9781315269337 ; 9781351978712 ; 9781351978729 ; 9781351978736","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 online resource","823.914","ELD.DS.147235","","English","Additional physical form: Print version. 9781138284661"
